Gene_LOH	Pvalue	HR	Qvalue	N
fLOH_COASY	0.529532087019338	1.9602657932356	0.999561539553054	7
rLOH_COASY	0.0579044428365172	3.16986680932981	0.406517008038673	16
fLOH_COL27A1	0.997924640146027	3.62310594492618e-08	0.999561539553054	11
rLOH_COL27A1	0.139607011635943	3.268429569834	0.727818639074073	6
fLOH_CSHL1	0.396477280411365	1.94309749029388	0.999561539553054	15
rLOH_CSHL1	0.998086747302837	3.58256618896377e-08	0.999478061477577	9
fLOH_CSPG5	0.50968539599076	2.06642936837337	0.999561539553054	11
rLOH_CSPG5	0.0349527139954382	5.50354862400948	0.378370906464266	10
fLOH_CTSB	0.277725551289982	3.31449663703596	0.996553177197004	6
rLOH_CTSB	0.435673478155089	1.83033610415788	0.999478061477577	11
fLOH_CUEDC1	0.998043004385755	2.9893643667368e-08	0.999561539553054	7
rLOH_CUEDC1	0.745854311879935	0.779412353474371	0.999478061477577	11
fLOH_CYB5D1	0.997847062021971	5.24311156890331e-09	0.999561539553054	8
rLOH_CYB5D1	0.169627822679666	2.5240623958653	0.753564827340176	13
fLOH_CYP2C9	0.999462292430815	8.50102809750292e-09	0.999561539553054	3
rLOH_CYP2C9	0.996807125524059	5.4585979609142e-09	0.999478061477577	11
fLOH_DNAH2	0.181128157597759	0.293185380925603	0.903425670310079	12
rLOH_DNAH2	0.523498961718835	0.589648982707167	0.999478061477577	15
fLOH_DUOX1	0.349249142289279	0.345795972084164	0.999561539553054	12
rLOH_DUOX1	0.0592837303389732	3.51482736954367	0.406517008038673	12
fLOH_DUSP13	0.280472281388489	3.2387351276138	0.996553177197004	4
rLOH_DUSP13	0.542887383454724	1.91872721622076	0.999478061477577	11
fLOH_DYX1C1	0.000472995668084733	11.039336089479	0.0498591740113269	10
rLOH_DYX1C1	0.260808704366834	2.99551273750266	0.946604249325915	11
fLOH_EFHB	0.470052156207311	2.16970706692757	0.999561539553054	7
rLOH_EFHB	0.852075376525629	1.15676725831842	0.999478061477577	13
fLOH_EML1	0.99762249066068	3.61040038996803e-08	0.999561539553054	10
rLOH_EML1	0.760319558223249	1.38805630104273	0.999478061477577	8
fLOH_ENO3	0.885517770311568	1.16431773465139	0.999561539553054	13
rLOH_ENO3	0.727169177797797	1.30289715211926	0.999478061477577	14
fLOH_EPB41L4A	0.613856795464662	1.72338977577054	0.999561539553054	11
rLOH_EPB41L4A	0.99748117483637	5.12788801452334e-08	0.999478061477577	8
fLOH_EPN3	0.70848775276911	0.673403996168304	0.999561539553054	11
rLOH_EPN3	0.563159998857852	0.542873577597872	0.999478061477577	9
fLOH_EPSTI1	0.284611552850849	2.05700526087847	0.996553177197004	8
rLOH_EPSTI1	0.737284723739	1.42700185816395	0.999478061477577	10
fLOH_EPX	0.653271004794508	0.620316630553711	0.999561539553054	10
rLOH_EPX	0.364508235573004	0.385414788202219	0.972021961528011	18
fLOH_ERBB2	0.935329060344576	1.09095770786254	0.999561539553054	12
rLOH_ERBB2	0.0336287084006015	4.6211893689324	0.378370906464266	13
fLOH_FAM114A2	0.265219386263166	2.52219466126926	0.996553177197004	12
rLOH_FAM114A2	0.153053409473939	3.09259101976703	0.739929293171991	11
fLOH_FAM118A	0.165811864422576	3.06111333946933	0.869591111193954	11
rLOH_FAM118A	0.642437987026402	1.64389641743688	0.999478061477577	9
fLOH_FAM160A2	0.0422825867165008	4.91340174061379	0.453576839322463	5
rLOH_FAM160A2	0.379309835016986	2.01177234046829	0.991543941221152	10
fLOH_FAM170A	0.997994497567437	3.54329765775716e-08	0.999561539553054	5
rLOH_FAM170A	0.894881052058316	0.866159635564705	0.999478061477577	11
fLOH_FAM20A	0.66612556209674	1.41908408131268	0.999561539553054	9
rLOH_FAM20A	0.480341761253962	2.16392838122508	0.999478061477577	12
fLOH_FAM83F	0.0166204817117296	7.53009402610615	0.280173834569156	5
rLOH_FAM83F	0.997533138014304	8.93398979183733e-09	0.999478061477577	12
fLOH_FBF1	0.198479635092479	2.09281838799527	0.936823877636501	12
rLOH_FBF1	0.9547204284783	1.06178251905831	0.999478061477577	12
fLOH_FBN2	0.388622981023428	2.68083681264172	0.999561539553054	8
rLOH_FBN2	0.326801622486799	1.94278317069252	0.960508122086984	18
fLOH_FGFR4	0.997417445364815	2.34059715538493e-07	0.999561539553054	2
rLOH_FGFR4	0.702929187607635	1.27547535591981	0.999478061477577	11
fLOH_FLNB	0.958467957272961	0.959623000542386	0.999561539553054	10
rLOH_FLNB	0.251770649249863	2.27092166474834	0.946604249325915	10
fLOH_FOXA1	0.997127040781412	7.05005705303261e-09	0.999561539553054	6
rLOH_FOXA1	0.0410324466306814	5.3012137301973	0.378370906464266	11
fLOH_FTSJ3	0.997803097323716	3.89545919778152e-08	0.999561539553054	10
rLOH_FTSJ3	0.124635378337452	2.70623441789285	0.69563932095322	16
fLOH_FYCO1	0.750369881406818	0.705456268954002	0.999561539553054	11
rLOH_FYCO1	0.478934543701102	1.74978321177663	0.999478061477577	10
fLOH_GABRP	0.162011574987497	2.55587728777236	0.869591111193954	11
rLOH_GABRP	0.0468464261204399	9.20771914662315	0.378370906464266	6
fLOH_GAL3ST1	0.678435341027064	0.683645698206641	0.999561539553054	5
rLOH_GAL3ST1	0.776514881502127	0.784383373902874	0.999478061477577	10
fLOH_GALC	0.99782646265084	5.31563992957441e-08	0.999561539553054	4
rLOH_GALC	0.894201260868224	1.14908489041068	0.999478061477577	10
fLOH_GBE1	0.997961077239503	1.17111072565541e-07	0.999561539553054	3
