ID ASLOH Varscan2 SomaticSniper SNVsniffer Sequenza
TCGA-B6-A0IE 82.7586206896552 60.8695652173913 20 33.3333333333333 NA
TCGA-B6-A0IQ 98.5611510791367 85.625 100 100 NA
TCGA-B6-A0RS 96.7889908256881 93.6842105263158 88.8888888888889 100 NA
TCGA-B6-A0RT NA 33.3333333333333 0 0 NA
TCGA-B6-A0RU 97.7443609022556 90.1408450704225 86.6666666666667 50 NA
TCGA-B6-A0WX NA 84.2857142857143 100 100 NA
TCGA-BH-A0AV NA 89.5652173913044 66.6666666666667 100 NA
TCGA-BH-A0B3 93.4210526315789 93.2038834951456 100 100 NA
TCGA-BH-A0B9 98.7179487179487 98.1651376146789 100 33.3333333333333 NA
TCGA-BH-A0BG 89.2966360856269 91.5708812260536 56.7901234567901 51.6129032258064 NA
